Z-Disp (V),Z-Load (V),Time (s),Z-Amp (V),Z-Pha (Dg),Z-Excite,X-Disp (V),X-Load (V),Y-Disp (V),Y-Load (V),X-Amp (V),X-Pha (Dg),X-Exc (V),Y-Amp (V),Y-Pha (Dg),Y-Exc (V)
41314.9400951,44.8047502041,0,.00024765,171.72,0,41285.6724947,44.9447870255,41286.1368677,44.8467514515,.0004832,-18,1091,.000287,160.6,0
41314.9687065,44.8045611382,7599.64,.0001605,151.41,0,41285.6695352,44.9447870255,41286.1336078,44.8467514515,.0005764,-10.93,1059,.0002352,171.77,0
41314.9717738,44.8045418262,7600.055,.00017085,134.41,0,41285.6692555,44.9447870255,41286.1333287,44.8467514515,.0005145,-29,1100,.00039395,133.71,0
41314.9747794,44.8045225143,7600.46,.0001907,157.6,0,41285.668958,44.9447870255,41286.1330228,44.8467514515,.0007112,-21.71,1059,.00041285,173.42,0
41314.9778293,44.8045030832,7600.875,.00014145,157.8,0,41285.6686353,44.9447870255,41286.1325491,44.8467514515,.0005495,-8.71,1072,.0002728,152.71,0
41314.980943,44.8044834137,7601.29,.0001926,142.84,0,41285.6683167,44.9447870255,41286.1321095,44.8467514515,.0005727,-30.24,1098,.00038885,145.47,0
41314.9840521,44.8044638634,7601.71,.00025925,166.91,0,41285.6680296,44.9447870255,41286.1318405,44.8467514515,.0007051,-16.08,1058,.00032675,156.8,0
41314.9870853,44.8044446707,7602.12,.0001502,173.88,0,41285.6677846,44.9447870255,41286.1314108,44.8467514515,.0005232,-11.08,1077,.0002604,159.31,0
41314.9902713,44.8044250011,7602.535,.00020305,157.93,0,41285.6674728,44.9447870255,41286.1311224,44.8467514515,.0006196,-28.89,1086,.0003249,153.27,0
41314.9933932,44.8044056892,7602.95,.000232,157.67,0,41285.6671657,44.9447870255,41286.1307652,44.8467514515,.0006987,-13.93,1044,.0003115,150.12,0
41314.9965071,44.8043863773,7603.36,.0001699,142.3,0,41285.6668228,44.9447870255,41286.1304195,44.8467514515,.000476,-14.87,1091,.00019195,176.99,0
