Z-Disp (V),Z-Load (V),Time (s),Z-Amp (V),Z-Pha (Dg),Z-Excite,X-Disp (V),X-Load (V),Y-Disp (V),Y-Load (V),X-Amp (V),X-Pha (Dg),X-Exc (V),Y-Amp (V),Y-Pha (Dg),Y-Exc (V)
41294.4924626,44.8058171272,0,.0001551,-166.79,0,41285.6347969,44.9447870255,41286.022289,44.8467514515,.0006645,-14.04,1048,.00022515,170.04,0
41294.5204823,44.8056282997,6308.755,.0003071,151.13,0,41285.631947,44.9447870255,41286.0188641,44.8467514515,.0007295,-28.06,1052,.0003443,159.66,0
41294.5236427,44.8056080341,6309.185,.00020025,158.99,0,41285.6316818,44.9447870255,41286.018562,44.8467514515,.0005917,-8.52,1046,.00016595,142.84,0
41294.5267778,44.8055882454,6309.6,.0001721,144.33,0,41285.6313632,44.9447870255,41286.0183499,44.8467514515,.0005095,-26.71,1090,.0003016,147.06,0
41294.5297806,44.8055691719,6310.01,.00026215,168.01,0,41285.6310458,44.9447870255,41286.0181361,44.8467514515,.0007024,-20.95,1054,.00030905,157.88,0
41294.5328351,44.8055496216,6310.425,.0001587,166.04,0,41285.6307013,44.9447870255,41286.017888,44.8467514515,.0005609,-10.32,1059,.00023985,153.37,0
41294.535983,44.8055298328,6310.845,.00017875,148.08,0,41285.6303798,44.9447870255,41286.017663,44.8467514515,.0005457,-31.19,1092,.0002622,145.08,0
41294.5389407,44.8055105209,6311.26,.0002399,158.19,0,41285.6301047,44.9447870255,41286.0172133,44.8467514515,.0007218,-19.75,1045,.0004147,163.73,0
41294.5419934,44.8054909706,6311.67,.0001093,148.45,0,41285.6298828,44.9447870255,41286.0168552,44.8467514515,.0004989,-11.9,1071,.00024115,159.7,0
41294.5450066,44.8054713011,6312.09,.0002368,148.63,0,41285.6295554,44.9447870255,41286.0165611,44.8467514515,.0005942,-30.05,1088,.0002974,150.03,0
41294.5479494,44.8054521084,6312.505,.00023745,169.14,0,41285.6292535,44.9447870255,41286.0162099,44.8467514515,.000712,-15.64,1044,.00035825,169.25,0
41294.5510239,44.8054327965,6312.915,.000176,178.17,0,41285.6289743,44.9447870255,41286.0158856,44.8467514515,.0005043,-9.79,1074,.0002131,143.62,0
41294.5540244,44.8054134846,6313.325,.0001959,146.72,0,41285.6287137,44.9447870255,41286.0156497,44.8467514515,.0006598,-30.28,1068,.00037395,156.28,0
41294.5572095,44.805393815,6313.745,.00019715,178.32,0,41285.6283777,44.9447870255,41286.0151578,44.8467514515,.0006527,-11.03,1042,.0002656,157.56,0
41294.5602046,44.8053748608,6314.15,.0001808,162.51,0,41285.6280418,44.9447870255,41286.0149408,44.8467514515,.0004746,-15.51,1084,.0003141,167.23,0
41294.5632758,44.8053554296,6314.56,.0002064,154.53,0,41285.6277522,44.9447870255,41286.0145917,44.8467514515,.0006796,-27.8,1067,.0002724,143.08,0
41294.5662743,44.8053359985,6314.975,.0001576,174.76,0,41285.6274855,44.9447870255,41286.0142366,44.8467514515,.0006189,-12.07,1054,.00037265,157.92,0
41294.5693103,44.8053164482,6315.39,.0001983,152.94,0,41285.6272037,44.9447870255,41286.0138142,44.8467514515,.0004807,-21.48,1103,.0002428,156.4,0
41294.5723854,44.8052973747,6315.8,.00021695,161.55,0,41285.6269099,44.9447870255,41286.01351,44.8467514515,.0006857,-28.09,1076,.00041225,139.65,0
41294.5753624,44.8052779436,6316.215,.000194,170.36,0,41285.6265938,44.9447870255,41286.0133177,44.8467514515,.0006358,-9.15,1052,.000235,177.54,0
41294.5783374,44.8052587509,6316.625,.00020725,144.66,0,41285.626322,44.9447870255,41286.0130971,44.8467514515,.0004974,-23.2,1097,.0002687,145.05,0
41294.58146,44.805239439,6317.035,.0002508,150.78,0,41285.6260071,44.9447870255,41286.0128076,44.8467514515,.0007166,-24.02,1060,.00032035,167.07,0
41294.5844713,44.8052198887,6317.455,.000147,165.29,0,41285.6256693,44.9447870255,41286.0124963,44.8467514515,.0005723,-6.57,1061,.00016375,163.33,0
